Well_id,lat_dec,long_dec,DWT,Clay,Recharge,Slope,SOM,SHG,Texture,Dist_MSW,Ndep,WellDepth,ORP,Mn,Fe,DO,Ca,Nload,MCL,Train,NO3Av,NO3Max
642503,35.299721,-101.818332,69,31,3.25211,3.247119904,2.5,8,3,5.51425292,9.494529724,264,150.3379974,20.0335999,59.3585014,5.9932199,55.9025993,3.1,0,Training,6.39,6.39
557101,35.1075,-100.983054,113.4714286,25,5.4043798,3.747679949,0.550000012,8,5,15.79623789,7.432229996,250,29.53280067,73.513298,519.6710205,8.6350603,65.4268036,3.1,0,Training,5.6,5.6
1056203,34.23111,-102.049166,279.3177778,28.5,2.5071399,0.564182997,1.5,6,3,10.7785531,8.408009529,325,121.7720032,14.2498999,64.8490982,7.0632701,52.2953987,10,0,Training,8.92,8.99
611202,35.850555,-101.666666,311.536,25,2.6229,1.410459995,0.550000012,8,5,4.332653419,7.869390011,423,83.55200195,34.1405983,45.8325996,7.5455699,50.8908997,10,0,Training,7.155,7.23
506707,35.889444,-100.366943,160.8,25,4.99475,4.626639843,0.550000012,8,5,32.1808937,7.178679943,166,158.9530029,48.9929008,188.3970032,8.3823204,58.862999,3.1,0,Training,4.74,5.05
1045501,34.319721,-102.41861,288.98,28.5,2.61904,1.994689941,1.5,6,3,17.66862977,9.772569656,330,133.3809967,46.1693993,31.5296001,6.8976102,52.4982986,10,0,Training,9.1,9.1
1052701,34.154444,-102.615,131.2,10,2.35427,1.017099977,2,8,9,6.652168622,6.8292799,253,109.1549988,1.52988,17.2656002,6.6115999,58.6994019,3.1,0,Training,4.47,4.47
239101,36.497221,-102.242221,257.1666667,21,1.84913,0.997344017,2,8,5,15.3609176,7.905970097,334,117.3389969,39.5886993,42.2265015,7.6340399,35.2257996,7.5,0,Training,5.1,5.1
551101,35.213055,-100.729443,213.5444444,14,6.9892902,4.460259914,0.75,8,6,0.765509791,7.273220062,310,107.0070038,139.4720001,385.4070129,8.8575802,69.2518005,7.5,0,Training,3.06,3.06
1153503,34.197221,-101.441666,246.6488889,33.5,3.9022,0.199469,2,4,3,13.12133358,7.403530121,301,168.3049927,43.096199,1175.589966,7.6665802,42.3180008,10,0,Training,4.1,4.1
2305502,33.936944,-101.44611,286.6733333,33.5,3.83834,0.822431028,2,4,3,8.687935595,6.117549896,425,160.1130066,39.3049011,744.9370117,6.7213802,37.6492996,10,0,Training,3.79,3.79
236701,36.389444,-102.585555,142.0455556,21,1.42549,1.128370047,2,8,5,19.2354054,6.702280045,207,106.6460037,34.0987015,42.5012016,7.6247301,15.9561005,3.1,0,Training,3.81,3.81
1146701,34.285833,-101.364722,229.2355556,33.5,4.2884698,1.89233005,2,4,3,18.92715588,7.151659966,270,178.1820068,47.6459999,1370.209961,7.82936,39.3911018,7.5,0,Training,3.48,3.48
2301802,33.915277,-101.940555,239.06,33.5,3.0470099,1.881780028,2,4,3,7.954250537,6.918849945,345,106.0960007,31.1189003,269.3609924,6.1708002,57.0413017,7.5,0,Training,2.94,3.22
2305301,33.981388,-101.394444,278.2577778,33.5,3.91243,0.797874987,2,4,3,5.474201553,6.175799847,331,211.3410034,40.4389,783.5540161,6.92026,36.108799,10,0,Training,4.02,4.02
2318303,33.746666,-101.785555,220.9,28.5,2.9110999,1.806270003,1.5,6,3,6.460220171,5.916230202,312,126.4059982,30.5130005,461.928009,5.6554599,74.8128967,7.5,0,Training,7.3,7.3
1022404,34.697777,-102.373054,214.0322222,33.5,3.1730101,0.630775988,2,4,3,9.807966769,12.97000027,275,20.21179962,77.6692963,30.4011002,7.28618,48.5332985,10,0,Training,8.88,8.88
